,temperature,light_intensity,light_dark_ratio,reactor_type,fermentation_mode,open_close_system,reactor_volume,reaction_volume,initial_OD,special_growth,no3_conc,phosphate_conc,co2_perc,air_bubbling,bubbling_speed (ml/min),hco3_conc,nacl_conc,medium_pH,substrate2,substrate2_conc(mg/L),substrate2_enthalpyFormation,genetic_wt,promoterInducer,inducerConc,genetic_mutation,genetic_heterologousInsertion,genetic_precursor,genetic_enzymaticSteps,productExporter,cofactorEnhance,pathwayOptimized,product,product permeability,numberC,numberH,numberN,numberO,product_enthalpyFormation,OD,growth_rate,product_titer,production_rate,paper,cultivation_time,species,ko genes,ox genes,genetic_knockoutSteps,genetic_heterologousSteps,OE_nativeSteps
ISABsyu,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.9659,0.006836628,58,-0.541666667,1,168,utex2973,NA,"ino1,suhb,pntab",0,2,1
SL3228,38,500,0,2-cylindricalPBR,1-batch,1-open,100,na,0.1,na,247.1,5.43,5,1,na,0,0,na,na,0,0,0,IPTG,0,na,2-plasmid,gpp_l-tryptophan,3,na,na,0,cis Indole–Isonitrile,i,11,8,2,0,na,1.085774065,0.036192469,0.015,0.0005,29,30,utex2973,NA," famH1,famH2,famH3,aph3",na,3,0
,38,100,0,1-shakingflask,1-batch,2-closed,160,120,0.75,na,247.1,5.43,0.04,0,0,50,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,1.3,0.214285714,0.17362,0.001205694,49,144,utex2973,NA,"IspS,IDI",na,2,0
,38.0 ,100 ,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.12,0.00125,47,96,utex2973,NA,"IspS,IDI",na,2,0
11,44,200,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,20,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.4,0.0043,47,96,utex2973,NA,"IspS,IDI",na,2,0
2,41,300,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,20,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.4,0.0046,47,96,utex2973,NA,"IspS,IDI",na,2,0
8,44,300,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.5,0.0051,47,96,utex2973,NA,"IspS,IDI",na,2,0
1,41,100,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,20,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.5,0.0054,47,96,utex2973,NA,"IspS,IDI",na,2,0
9,38,200,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,20,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.5,0.0054,47,96,utex2973,NA,"IspS,IDI",na,2,0
6,38,300,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.5,0.0055,47,96,utex2973,NA,"IspS,IDI",na,2,0
