temperature,light_intensity,light_dark_ratio,reactor_type,fermentation_mode,open_close_system,reactor_volume,reaction_volume,initial_OD,cultivation_time,special_growth,no3_conc,phosphate_conc,co2_perc,air_bubbling,hco3_conc,nacl_conc,medium_pH,substrate2,substrate2_conc(mg/L),substrate2_enthalpyFormation,genetic_wt,promoterInducer,inducerConc,genetic_mutation,genetic_knockoutSteps,genetic_heterologousInsertion,genetic_precursor,genetic_enzymaticSteps,genetic_heterologousSteps,product,numberC,numberH,numberN,numberO,product_enthalpyFormation,productExporter,cofactorEnhance,pathwayOptimized,OD,growth_rate,product_titer,production_rate,paper,species,product permeability,ko genes,ox genes,OE_nativeSteps,bubbling_speed (ml/min)
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,0,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,0.25,0.007,0,na,2,pcc6803,i,na,na,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,0,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.25,0.007,0,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,0,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,0.25,0.007,0,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,0,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.25,0.007,0,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,0,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,0.25,0.007,0,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,24,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,0.3,0.007,0.1,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,24,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.3,0.007,0.1,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,24,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,0.3,0.007,0.2,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,24,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,0.35,0.007,0.1,na,2,pcc6803,i,na,na,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,24,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.35,0.007,0.1,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,48,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.45,0.007,0.1,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,48,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,0.5,0.007,0.4,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,48,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,0.6,0.007,0.1,na,2,pcc6803,i,na,na,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,48,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,0.6,0.007,0.2,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,48,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.6,0.007,0.2,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,72,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.47,0.007,0.2,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,72,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,0.7,0.007,1,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,72,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,0.8,0.007,0.5,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,72,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.8,0.007,0.5,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,72,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,0.9,0.007,0.1,na,2,pcc6803,i,na,na,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,96,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.5,0.007,0.2,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,96,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,0.8,0.007,1.5,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,96,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,1.2,0.007,1,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,96,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,1.2,0.007,1,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,96,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,1.4,0.007,0.1,na,2,pcc6803,i,na,na,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,120,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.51,0.007,0.2,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,120,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,1.2,0.007,2.3,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,120,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,1.75,0.007,1.3,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,120,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,1.75,0.007,1.3,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,120,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,1.8,0.007,0.1,na,2,pcc6803,i,na,na,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,168,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,0.7,0.007,0.3,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,168,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,1.6,0.007,3.5,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,168,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,2.4,0.007,2.3,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,168,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,2.4,0.007,2.3,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,168,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,2.75,0.007,0.1,na,2,pcc6803,i,na,na,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,192,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,1.2,0.007,0.3,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,192,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,2.2,0.007,5,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,192,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,3.1,0.007,3,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,192,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,3.2,0.007,0.1,na,2,pcc6803,i,na,na,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,192,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,3.2,0.007,3,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,240,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,1.7,0.007,0.3,na,2,pcc6803,i,na,"cfdxs,sidi",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,240,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,2.7,0.007,4.5,na,2,pcc6803,i,na,agb,0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,240,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,2,bisabolene,15,24,0,0,-29.23,0,0,0,2.7,0.007,4.5,na,2,pcc6803,i,na,"agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,240,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,4,bisabolene,15,24,0,0,-29.23,0,0,0,2.7,0.007,7.7,na,2,pcc6803,i,na,"cfdxs,sidi,agb,ispa",0,na
30,79,0,2-cylindricalPBR,1-batch,1-open,80,60,0.2,240,na,24.7,5.43,0.04,1,0.2,0,na,na,0,na,0,1,0,1,0,1-genomic,"Pyruvate, G3P",11,1,bisabolene,15,24,0,0,-29.23,0,0,0,3,0.007,0.1,na,2,pcc6803,i,na,na,0,na
