,combo,target_feature,before_rmse,before_r2,before_mape,after_rmse,after_r2,after_mape,n_worst_trees
0,"(1, 2, 6)",OD,21.499877882174395,-9.020730263567842,14.870585512963595,17.185397820729264,-7.009823915158817,13.520581614831443,10
1,"(1, 2, 6)",OD,21.499877882174395,-9.020730263567842,14.870585512963595,15.71131270002713,-6.322777716057288,13.058480648365052,15
2,"(1, 2, 6)",OD,21.499877882174395,-9.020730263567842,14.870585512963595,14.61202842359168,-5.810419865584376,12.67987761749204,20
3,"(1, 2, 6)",OD,21.499877882174395,-9.020730263567842,14.870585512963595,13.641494737171412,-5.3580704924101665,12.21498576568608,25
4,"(1, 2, 6)",OD,21.499877882174395,-9.020730263567842,14.870585512963595,13.026457719695165,-5.07141211751081,11.97378871769979,30
5,"(1, 2, 6)",growth_rate,0.10177538580103689,-111.60689768132502,40.26269962596368,0.09537908436073964,-104.5298656842709,39.01732253372078,10
6,"(1, 2, 6)",growth_rate,0.10177538580103689,-111.60689768132502,40.26269962596368,0.0928805073002175,-101.76537592882895,38.514707224404575,15
7,"(1, 2, 6)",growth_rate,0.10177538580103689,-111.60689768132502,40.26269962596368,0.08981979040724065,-98.37892024225727,37.89372776168868,20
8,"(1, 2, 6)",growth_rate,0.10177538580103689,-111.60689768132502,40.26269962596368,0.08912217919667646,-97.60706530315719,37.749646602683484,25
9,"(1, 2, 6)",growth_rate,0.10177538580103689,-111.60689768132502,40.26269962596368,0.08746239673003993,-95.7706394038815,37.40456351045388,30
10,"(1, 2, 6)",product_titer,7095557.558860791,-5972.520868324362,7.960865047991661e+18,3930077.9052695944,-3307.6057278122635,6.114861857064599e+18,10
11,"(1, 2, 6)",product_titer,7095557.558860791,-5972.520868324362,7.960865047991661e+18,2963262.1469200677,-2493.674749109446,5.222009613340327e+18,15
12,"(1, 2, 6)",product_titer,7095557.558860791,-5972.520868324362,7.960865047991661e+18,2376105.0168618495,-1999.3661144048701,4.713622042999058e+18,20
13,"(1, 2, 6)",product_titer,7095557.558860791,-5972.520868324362,7.960865047991661e+18,1919944.8138480894,-1615.3395640742349,4.22613581930677e+18,25
14,"(1, 2, 6)",product_titer,7095557.558860791,-5972.520868324362,7.960865047991661e+18,1587582.6156404773,-1335.534557862139,3.8501981767699794e+18,30
15,"(1, 2, 6)",production_rate,1755.6813668790576,-10812.147829143438,1.6112426898478412e+16,1119.6849366227243,-6895.079761493903,1.358322384865194e+16,10
16,"(1, 2, 6)",production_rate,1755.6813668790576,-10812.147829143438,1.6112426898478412e+16,929.6891270768089,-5724.905711523883,1.2591221301632176e+16,15
